Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Object Repository/Page_Blog - RisQIT/h1_Blog""), ""Blog"")",Chrome 120.0.0.0,,,2023-12-18 12:36:58,2023-12-18 12:36:59,"0,582s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Vacatures""))",Chrome 120.0.0.0,,,2023-12-18 12:36:59,2023-12-18 12:36:59,"0,393s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Vacatures - RisQIT/h1_Vacatures""), ""Vacatures"")",Chrome 120.0.0.0,,,2023-12-18 12:36:59,2023-12-18 12:37:00,"0,622s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:37:00,2023-12-18 12:37:00,"0,086s",PASSED
"click(findTestObject(""Object Repository/MenuTopbar/Page_Vacatures - RisQIT/div_Contact opnemen""))",Chrome 120.0.0.0,,,2023-12-18 12:37:00,2023-12-18 12:37:01,"0,698s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Contact - RisQIT/h1_Contact""), ""Contact"")",Chrome 120.0.0.0,,,2023-12-18 12:37:01,2023-12-18 12:37:01,"0,554s",PASSED
"click(findTestObject(""MenuTopbar/img_Logo""))",Chrome 120.0.0.0,,,2023-12-18 12:37:01,2023-12-18 12:37:02,"0,510s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Home - RisQIT/h1_Ga voor duurzaamheid en vertrouwen, same_4bc4a8""), ""Ga voor duurzaamheid en vertrouwen, samen met ons!"")",Chrome 120.0.0.0,,,2023-12-18 12:37:02,2023-12-18 12:37:02,"0,600s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-18 12:37:02,2023-12-18 12:37:03,"0,121s",PASSED
,,,,,,,
Test Cases/Menu/RT004 MenuClicks - UX-Lab,Chrome 120.0.0.0,,,2023-12-18 12:37:03,2023-12-18 12:37:05,"2,782s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 12:37:03,2023-12-18 12:37:03,"0,647s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2023-12-18 12:37:03,2023-12-18 12:37:03,"0,138s",PASSED
navigateToUrl(URL + UXLAB),Chrome 120.0.0.0,,,2023-12-18 12:37:03,2023-12-18 12:37:04,"0,865s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:37:04,2023-12-18 12:37:05,"0,590s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SoftwareTesting""))",Chrome 120.0.0.0,,,2023-12-18 12:37:05,2023-12-18 12:37:05,"0,479s",FAILED
,,,,,,,
Test Cases/Menu/RT005 MenuClicks - Over Ons,Chrome 120.0.0.0,,,2023-12-18 12:37:05,2023-12-18 12:37:10,"5,197s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 12:37:05,2023-12-18 12:37:06,"0,773s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2023-12-18 12:37:06,2023-12-18 12:37:06,"0,124s",PASSED
navigateToUrl(URL + OVER_ONS),Chrome 120.0.0.0,,,2023-12-18 12:37:06,2023-12-18 12:37:07,"0,269s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:37:07,2023-12-18 12:37:07,"0,675s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SoftwareTesting""))",Chrome 120.0.0.0,,,2023-12-18 12:37:07,2023-12-18 12:37:08,"1,088s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Software Testing - RisQIT/h1_Software Testing""), ""Software Testing"")",Chrome 120.0.0.0,,,2023-12-18 12:37:08,2023-12-18 12:37:09,"0,536s",PASSED
navigateToUrl(URL + OVER_ONS),Chrome 120.0.0.0,,,2023-12-18 12:37:09,2023-12-18 12:37:09,"0,081s",PASSED
